iter	Passed	Remaining
0	4	479
1	9	476
2	15	488
3	19	476
4	24	465
5	29	456
6	33	448
7	40	462
8	44	452
9	49	444
10	54	444
11	61	452
12	67	455
13	73	449
14	77	440
15	83	435
16	87	428
17	98	449
18	103	442
19	108	434
20	113	426
21	118	418
22	122	411
23	139	442
24	144	432
25	148	423
26	154	416
27	158	408
28	164	401
29	173	404
30	178	397
31	182	388
32	187	380
33	192	373
34	197	366
35	202	359
36	219	373
37	224	366
38	229	358
39	233	350
40	238	343
41	244	338
42	251	332
43	256	326
44	261	319
45	265	312
46	270	305
47	275	298
48	285	297
49	291	291
50	296	284
51	300	277
52	306	271
53	310	264
54	321	263
55	326	256
56	331	249
57	337	244
58	342	237
59	346	231
60	360	230
61	365	224
62	370	217
63	375	211
64	381	205
65	386	199
66	391	192
67	399	188
68	404	181
69	409	175
70	418	170
71	424	165
72	430	159
73	437	153
74	441	147
75	446	141
76	451	134
77	456	128
78	461	122
79	470	117
80	475	111
81	479	105
82	484	99
83	489	93
84	494	87
85	499	81
86	503	75
87	508	69
88	513	63
89	517	57
90	525	51
91	541	47
92	546	41
93	551	35
94	557	29
95	562	23
96	566	17
97	576	11
98	581	5
99	586	0
